都道府県,性別,年齢区分,下限値,上限値,人数
岐阜県,男性,45～49歳,51.0,inf,1423
静岡県,男性,45～49歳,,,76946
静岡県,男性,45～49歳,31.0,inf,12339
静岡県,男性,45～49歳,51.0,inf,2989
愛知県,男性,45～49歳,,,170486
愛知県,男性,45～49歳,31.0,inf,26273
愛知県,男性,45～49歳,51.0,inf,6092
三重県,男性,45～49歳,,,36476
三重県,男性,45～49歳,31.0,inf,6110
三重県,男性,45～49歳,51.0,inf,1426
滋賀県,男性,45～49歳,,,29169
滋賀県,男性,45～49歳,31.0,inf,4778
滋賀県,男性,45～49歳,51.0,inf,1022
京都府,男性,45～49歳,,,46508
京都府,男性,45～49歳,31.0,inf,7704
京都府,男性,45～49歳,51.0,inf,1744
大阪府,男性,45～49歳,,,156806
大阪府,男性,45～49歳,31.0,inf,27978
大阪府,男性,45～49歳,51.0,inf,6568
兵庫県,男性,45～49歳,,,101614
兵庫県,男性,45～49歳,31.0,inf,17302
兵庫県,男性,45～49歳,51.0,inf,3872
奈良県,男性,45～49歳,,,22080
奈良県,男性,45～49歳,31.0,inf,3642
奈良県,男性,45～49歳,51.0,inf,871
和歌山県,男性,45～49歳,,,15267
和歌山県,男性,45～49歳,31.0,inf,2727
和歌山県,男性,45～49歳,51.0,inf,600
鳥取県,男性,45～49歳,,,9460
鳥取県,男性,45～49歳,31.0,inf,1616
鳥取県,男性,45～49歳,51.0,inf,398
島根県,男性,45～49歳,,,12428
島根県,男性,45～49歳,31.0,inf,2259
島根県,男性,45～49歳,51.0,inf,542
岡山県,男性,45～49歳,,,36501
岡山県,男性,45～49歳,31.0,inf,5772
岡山県,男性,45～49歳,51.0,inf,1326
広島県,男性,45～49歳,,,55212
広島県,男性,45～49歳,31.0,inf,9537
広島県,男性,45～49歳,51.0,inf,2163
山口県,男性,45～49歳,,,24056
山口県,男性,45～49歳,31.0,inf,4226
山口県,男性,45～49歳,51.0,inf,973
徳島県,男性,45～49歳,,,12277
徳島県,男性,45～49歳,31.0,inf,2117
徳島県,男性,45～49歳,51.0,inf,525
香川県,男性,45～49歳,,,18510
香川県,男性,45～49歳,31.0,inf,3225
香川県,男性,45～49歳,51.0,inf,709
愛媛県,男性,45～49歳,,,24545
愛媛県,男性,45～49歳,31.0,inf,4591
愛媛県,男性,45～49歳,51.0,inf,1042
高知県,男性,45～49歳,,,11984
高知県,男性,45～49歳,31.0,inf,2308
高知県,男性,45～49歳,51.0,inf,523
福岡県,男性,45～49歳,,,88817
福岡県,男性,45～49歳,31.0,inf,16001
福岡県,男性,45～49歳,51.0,inf,3955
佐賀県,男性,45～49歳,,,13112
佐賀県,男性,45～49歳,31.0,inf,2330
佐賀県,男性,45～49歳,51.0,inf,518
長崎県,男性,45～49歳,,,19663
長崎県,男性,45～49歳,31.0,inf,3574
長崎県,男性,45～49歳,51.0,inf,858
熊本県,男性,45～49歳,,,28198
熊本県,男性,45～49歳,31.0,inf,5282
熊本県,男性,45～49歳,51.0,inf,1229
大分県,男性,45～49歳,,,20415
大分県,男性,45～49歳,31.0,inf,3873
大分県,男性,45～49歳,51.0,inf,863
宮崎県,男性,45～49歳,,,17071
宮崎県,男性,45～49歳,31.0,inf,3346
宮崎県,男性,45～49歳,51.0,inf,847
鹿児島県,男性,45～49歳,,,23140
鹿児島県,男性,45～49歳,31.0,inf,4584
鹿児島県,男性,45～49歳,51.0,inf,1136
沖縄県,男性,45～49歳,,,22318
沖縄県,男性,45～49歳,31.0,inf,4960
沖縄県,男性,45～49歳,51.0,inf,1308
北海道,男性,50～54歳,,,75740
北海道,男性,50～54歳,31.0,inf,14738
北海道,男性,50～54歳,51.0,inf,3644
青森県,男性,50～54歳,,,19427
青森県,男性,50～54歳,31.0,inf,4162
青森県,男性,50～54歳,51.0,inf,1053
岩手県,男性,50～54歳,,,20066
岩手県,男性,50～54歳,31.0,inf,4601
岩手県,男性,50～54歳,51.0,inf,1100
宮城県,男性,50～54歳,,,41367
宮城県,男性,50～54歳,31.0,inf,7656
宮城県,男性,50～54歳,51.0,inf,2029
秋田県,男性,50～54歳,,,14283
秋田県,男性,50～54歳,31.0,inf,3140
秋田県,男性,50～54歳,51.0,inf,801
山形県,男性,50～54歳,,,19095
山形県,男性,50～54歳,31.0,inf,3670
山形県,男性,50～54歳,51.0,inf,947
福島県,男性,50～54歳,,,29930
福島県,男性,50～54歳,31.0,inf,5744
福島県,男性,50～54歳,51.0,inf,1396
茨城県,男性,50～54歳,,,52727
茨城県,男性,50～54歳,31.0,inf,9721
茨城県,男性,50～54歳,51.0,inf,2468
栃木県,男性,50～54歳,,,36405
栃木県,男性,50～54歳,31.0,inf,6802
栃木県,男性,50～54歳,51.0,inf,1696
群馬県,男性,50～54歳,,,36375
群馬県,男性,50～54歳,31.0,inf,6252
群馬県,男性,50～54歳,51.0,inf,1433
埼玉県,男性,50～54歳,,,142776
埼玉県,男性,50～54歳,31.0,inf,25744
埼玉県,男性,50～54歳,51.0,inf,6347
千葉県,男性,50～54歳,,,119067
千葉県,男性,50～54歳,31.0,inf,21512
千葉県,男性,50～54歳,51.0,inf,5329
東京都,男性,50～54歳,,,289438
東京都,男性,50～54歳,31.0,inf,53385
東京都,男性,50～54歳,51.0,inf,13003
神奈川県,男性,50～54歳,,,194600
神奈川県,男性,50～54歳,31.0,inf,35049
神奈川県,男性,50～54歳,51.0,inf,8462
新潟県,男性,50～54歳,,,41939
新潟県,男性,50～54歳,31.0,inf,7912
新潟県,男性,50～54歳,51.0,inf,1883
富山県,男性,50～54歳,,,21822
富山県,男性,50～54歳,31.0,inf,3873
富山県,男性,50～54歳,51.0,inf,859
石川県,男性,50～54歳,,,21803
石川県,男性,50～54歳,31.0,inf,3658
石川県,男性,50～54歳,51.0,inf,909
福井県,男性,50～54歳,,,14243
福井県,男性,50～54歳,31.0,inf,2290
福井県,男性,50～54歳,51.0,inf,557
山梨県,男性,50～54歳,,,16022
山梨県,男性,50～54歳,31.0,inf,2566
山梨県,男性,50～54歳,51.0,inf,641
長野県,男性,50～54歳,,,40883
長野県,男性,50～54歳,31.0,inf,6741
長野県,男性,50～54歳,51.0,inf,1525
岐阜県,男性,50～54歳,,,39124
岐阜県,男性,50～54歳,31.0,inf,6049
岐阜県,男性,50～54歳,51.0,inf,1383
静岡県,男性,50～54歳,,,74793
静岡県,男性,50～54歳,31.0,inf,11639
静岡県,男性,50～54歳,51.0,inf,2862
愛知県,男性,50～54歳,,,165758
愛知県,男性,50～54歳,31.0,inf,24633
愛知県,男性,50～54歳,51.0,inf,6078
三重県,男性,50～54歳,,,35638
三重県,男性,50～54歳,31.0,inf,5713
三重県,男性,50～54歳,51.0,inf,1345
滋賀県,男性,50～54歳,,,26659
滋賀県,男性,50～54歳,31.0,inf,4306
滋賀県,男性,50～54歳,51.0,inf,996
京都府,男性,50～54歳,,,44524
京都府,男性,50～54歳,31.0,inf,7216
京都府,男性,50～54歳,51.0,inf,1699
大阪府,男性,50～54歳,,,157060
大阪府,男性,50～54歳,31.0,inf,27508
大阪府,男性,50～54歳,51.0,inf,6695
兵庫県,男性,50～54歳,,,99535
兵庫県,男性,50～54歳,31.0,inf,16966
兵庫県,男性,50～54歳,51.0,inf,3975
奈良県,男性,50～54歳,,,22270
奈良県,男性,50～54歳,31.0,inf,3682
奈良県,男性,50～54歳,51.0,inf,794
和歌山県,男性,50～54歳,,,14503
和歌山県,男性,50～54歳,31.0,inf,2577
和歌山県,男性,50～54歳,51.0,inf,678
鳥取県,男性,50～54歳,,,8485
鳥取県,男性,50～54歳,31.0,inf,1377
鳥取県,男性,50～54歳,51.0,inf,347
島根県,男性,50～54歳,,,10891
島根県,男性,50～54歳,31.0,inf,2018
島根県,男性,50～54歳,51.0,inf,490
岡山県,男性,50～54歳,,,32914
岡山県,男性,50～54歳,31.0,inf,5149
岡山県,男性,50～54歳,51.0,inf,1230
広島県,男性,50～54歳,,,51327
広島県,男性,50～54歳,31.0,inf,8872
広島県,男性,50～54歳,51.0,inf,2104
山口県,男性,50～54歳,,,21667
山口県,男性,50～54歳,31.0,inf,3840
山口県,男性,50～54歳,51.0,inf,884
徳島県,男性,50～54歳,,,11213
徳島県,男性,50～54歳,31.0,inf,1960
徳島県,男性,50～54歳,51.0,inf,444
香川県,男性,50～54歳,,,16632
香川県,男性,50～54歳,31.0,inf,2780
香川県,男性,50～54歳,51.0,inf,662
愛媛県,男性,50～54歳,,,21981
愛媛県,男性,50～54歳,31.0,inf,4020
愛媛県,男性,50～54歳,51.0,inf,962
高知県,男性,50～54歳,,,10447
高知県,男性,50～54歳,31.0,inf,2047
高知県,男性,50～54歳,51.0,inf,497
福岡県,男性,50～54歳,,,80108
福岡県,男性,50～54歳,31.0,inf,13909
福岡県,男性,50～54歳,51.0,inf,3612
佐賀県,男性,50～54歳,,,11734
佐賀県,男性,50～54歳,31.0,inf,2099
佐賀県,男性,50～54歳,51.0,inf,543
長崎県,男性,50～54歳,,,19044
長崎県,男性,50～54歳,31.0,inf,3284
長崎県,男性,50～54歳,51.0,inf,827
熊本県,男性,50～54歳,,,25702
熊本県,男性,50～54歳,31.0,inf,4297
熊本県,男性,50～54歳,51.0,inf,1126
大分県,男性,50～54歳,,,18129
大分県,男性,50～54歳,31.0,inf,3284
大分県,男性,50～54歳,51.0,inf,763
宮崎県,男性,50～54歳,,,15287
宮崎県,男性,50～54歳,31.0,inf,2859
宮崎県,男性,50～54歳,51.0,inf,692
鹿児島県,男性,50～54歳,,,21806
鹿児島県,男性,50～54歳,31.0,inf,3942
鹿児島県,男性,50～54歳,51.0,inf,1005
沖縄県,男性,50～54歳,,,20076
沖縄県,男性,50～54歳,31.0,inf,4102
沖縄県,男性,50～54歳,51.0,inf,1136
北海道,男性,55～59歳,,,67768
北海道,男性,55～59歳,31.0,inf,13027
北海道,男性,55～59歳,51.0,inf,3136
青森県,男性,55～59歳,,,18210
青森県,男性,55～59歳,31.0,inf,3870
青森県,男性,55～59歳,51.0,inf,1074
岩手県,男性,55～59歳,,,18982
岩手県,男性,55～59歳,31.0,inf,4074
岩手県,男性,55～59歳,51.0,inf,1081
宮城県,男性,55～59歳,,,35675
宮城県,男性,55～59歳,31.0,inf,6481
宮城県,男性,55～59歳,51.0,inf,1713
秋田県,男性,55～59歳,,,14238
秋田県,男性,55～59歳,31.0,inf,3123
秋田県,男性,55～59歳,51.0,inf,727
山形県,男性,55～59歳,,,18191
山形県,男性,55～59歳,31.0,inf,3445
山形県,男性,55～59歳,51.0,inf,801
福島県,男性,55～59歳,,,28414
福島県,男性,55～59歳,31.0,inf,5221
福島県,男性,55～59歳,51.0,inf,1265
茨城県,男性,55～59歳,,,43987
茨城県,男性,55～59歳,31.0,inf,7733
茨城県,男性,55～59歳,51.0,inf,1969
栃木県,男性,55～59歳,,,30439
栃木県,男性,55～59歳,31.0,inf,5601
栃木県,男性,55～59歳,51.0,inf,1386
群馬県,男性,55～59歳,,,30629
群馬県,男性,55～59歳,31.0,inf,4910
群馬県,男性,55～59歳,51.0,inf,1192
埼玉県,男性,55～59歳,,,113703
埼玉県,男性,55～59歳,31.0,inf,19532
埼玉県,男性,55～59歳,51.0,inf,4872
千葉県,男性,55～59歳,,,94193
千葉県,男性,55～59歳,31.0,inf,16380
千葉県,男性,55～59歳,51.0,inf,4137
東京都,男性,55～59歳,,,236072
東京都,男性,55～59歳,31.0,inf,41856
東京都,男性,55～59歳,51.0,inf,10550
神奈川県,男性,55～59歳,,,159513
神奈川県,男性,55～59歳,31.0,inf,27692
神奈川県,男性,55～59歳,51.0,inf,6886
新潟県,男性,55～59歳,,,37414
新潟県,男性,55～59歳,31.0,inf,6856
新潟県,男性,55～59歳,51.0,inf,1656
富山県,男性,55～59歳,,,17619
富山県,男性,55～59歳,31.0,inf,3038
富山県,男性,55～59歳,51.0,inf,717
石川県,男性,55～59歳,,,17783
石川県,男性,55～59歳,31.0,inf,2954
石川県,男性,55～59歳,51.0,inf,741
