都道府県,性別,年齢区分,下限値,上限値,人数
栃木県,男性,45～49歳,0.0,85.0,24106
群馬県,男性,45～49歳,90.0,inf,13994
群馬県,男性,45～49歳,85.0,90.0,8471
群馬県,男性,45～49歳,0.0,85.0,23535
埼玉県,男性,45～49歳,90.0,inf,55982
埼玉県,男性,45～49歳,85.0,90.0,34263
埼玉県,男性,45～49歳,0.0,85.0,90267
千葉県,男性,45～49歳,90.0,inf,47508
千葉県,男性,45～49歳,85.0,90.0,28211
千葉県,男性,45～49歳,0.0,85.0,73102
東京都,男性,45～49歳,90.0,inf,107339
東京都,男性,45～49歳,85.0,90.0,69130
東京都,男性,45～49歳,0.0,85.0,186997
神奈川県,男性,45～49歳,90.0,inf,70099
神奈川県,男性,45～49歳,85.0,90.0,44226
神奈川県,男性,45～49歳,0.0,85.0,119064
新潟県,男性,45～49歳,90.0,inf,14261
新潟県,男性,45～49歳,85.0,90.0,9516
新潟県,男性,45～49歳,0.0,85.0,31451
富山県,男性,45～49歳,90.0,inf,8568
富山県,男性,45～49歳,85.0,90.0,5330
富山県,男性,45～49歳,0.0,85.0,14900
石川県,男性,45～49歳,90.0,inf,8647
石川県,男性,45～49歳,85.0,90.0,5585
石川県,男性,45～49歳,0.0,85.0,15136
福井県,男性,45～49歳,90.0,inf,5500
福井県,男性,45～49歳,85.0,90.0,3564
福井県,男性,45～49歳,0.0,85.0,9575
山梨県,男性,45～49歳,90.0,inf,5652
山梨県,男性,45～49歳,85.0,90.0,3403
山梨県,男性,45～49歳,0.0,85.0,9942
長野県,男性,45～49歳,90.0,inf,13598
長野県,男性,45～49歳,85.0,90.0,9197
長野県,男性,45～49歳,0.0,85.0,28291
岐阜県,男性,45～49歳,90.0,inf,12860
岐阜県,男性,45～49歳,85.0,90.0,8563
岐阜県,男性,45～49歳,0.0,85.0,27591
静岡県,男性,45～49歳,90.0,inf,26375
静岡県,男性,45～49歳,85.0,90.0,16575
静岡県,男性,45～49歳,0.0,85.0,49577
愛知県,男性,45～49歳,90.0,inf,57522
愛知県,男性,45～49歳,85.0,90.0,36988
愛知県,男性,45～49歳,0.0,85.0,108438
三重県,男性,45～49歳,90.0,inf,12743
三重県,男性,45～49歳,85.0,90.0,8144
三重県,男性,45～49歳,0.0,85.0,23140
滋賀県,男性,45～49歳,90.0,inf,9678
滋賀県,男性,45～49歳,85.0,90.0,6598
滋賀県,男性,45～49歳,0.0,85.0,18698
京都府,男性,45～49歳,90.0,inf,15262
京都府,男性,45～49歳,85.0,90.0,10321
京都府,男性,45～49歳,0.0,85.0,30380
大阪府,男性,45～49歳,90.0,inf,58848
大阪府,男性,45～49歳,85.0,90.0,36746
大阪府,男性,45～49歳,0.0,85.0,95823
兵庫県,男性,45～49歳,90.0,inf,35625
兵庫県,男性,45～49歳,85.0,90.0,23477
兵庫県,男性,45～49歳,0.0,85.0,63664
奈良県,男性,45～49歳,90.0,inf,8003
奈良県,男性,45～49歳,85.0,90.0,5024
奈良県,男性,45～49歳,0.0,85.0,13572
和歌山県,男性,45～49歳,90.0,inf,5869
和歌山県,男性,45～49歳,85.0,90.0,3674
和歌山県,男性,45～49歳,0.0,85.0,9053
鳥取県,男性,45～49歳,90.0,inf,3096
鳥取県,男性,45～49歳,85.0,90.0,2219
鳥取県,男性,45～49歳,0.0,85.0,6199
島根県,男性,45～49歳,90.0,inf,3996
島根県,男性,45～49歳,85.0,90.0,2893
島根県,男性,45～49歳,0.0,85.0,8341
岡山県,男性,45～49歳,90.0,inf,12569
岡山県,男性,45～49歳,85.0,90.0,8072
岡山県,男性,45～49歳,0.0,85.0,22968
広島県,男性,45～49歳,90.0,inf,19023
広島県,男性,45～49歳,85.0,90.0,12637
広島県,男性,45～49歳,0.0,85.0,35249
山口県,男性,45～49歳,90.0,inf,8021
山口県,男性,45～49歳,85.0,90.0,5411
山口県,男性,45～49歳,0.0,85.0,15819
徳島県,男性,45～49歳,90.0,inf,4588
徳島県,男性,45～49歳,85.0,90.0,2932
徳島県,男性,45～49歳,0.0,85.0,7399
香川県,男性,45～49歳,90.0,inf,6633
香川県,男性,45～49歳,85.0,90.0,4210
香川県,男性,45～49歳,0.0,85.0,11604
愛媛県,男性,45～49歳,90.0,inf,8857
愛媛県,男性,45～49歳,85.0,90.0,5555
愛媛県,男性,45～49歳,0.0,85.0,15772
高知県,男性,45～49歳,90.0,inf,4491
高知県,男性,45～49歳,85.0,90.0,2701
高知県,男性,45～49歳,0.0,85.0,7623
福岡県,男性,45～49歳,90.0,inf,33906
福岡県,男性,45～49歳,85.0,90.0,21236
福岡県,男性,45～49歳,0.0,85.0,53669
佐賀県,男性,45～49歳,90.0,inf,5206
