都道府県,性別,年齢区分,下限値,上限値,人数
広島県,男性,40～44歳,0.0,5.6,23604
山口県,男性,40～44歳,8.4,inf,116
山口県,男性,40～44歳,8.0,8.4,33
山口県,男性,40～44歳,6.5,8.0,239
山口県,男性,40～44歳,6.0,6.5,492
山口県,男性,40～44歳,5.6,6.0,3089
山口県,男性,40～44歳,0.0,5.6,8884
徳島県,男性,40～44歳,8.4,inf,62
徳島県,男性,40～44歳,8.0,8.4,20
徳島県,男性,40～44歳,6.5,8.0,170
徳島県,男性,40～44歳,6.0,6.5,290
徳島県,男性,40～44歳,5.6,6.0,1776
徳島県,男性,40～44歳,0.0,5.6,5106
香川県,男性,40～44歳,8.4,inf,131
香川県,男性,40～44歳,8.0,8.4,31
香川県,男性,40～44歳,6.5,8.0,270
香川県,男性,40～44歳,6.0,6.5,563
香川県,男性,40～44歳,5.6,6.0,3376
香川県,男性,40～44歳,0.0,5.6,8221
愛媛県,男性,40～44歳,8.4,inf,173
愛媛県,男性,40～44歳,8.0,8.4,46
愛媛県,男性,40～44歳,6.5,8.0,483
愛媛県,男性,40～44歳,6.0,6.5,667
愛媛県,男性,40～44歳,5.6,6.0,4286
愛媛県,男性,40～44歳,0.0,5.6,12930
高知県,男性,40～44歳,8.4,inf,53
高知県,男性,40～44歳,8.0,8.4,18
高知県,男性,40～44歳,6.5,8.0,120
高知県,男性,40～44歳,6.0,6.5,292
高知県,男性,40～44歳,5.6,6.0,1527
高知県,男性,40～44歳,0.0,5.6,3424
福岡県,男性,40～44歳,8.4,inf,640
福岡県,男性,40～44歳,8.0,8.4,164
福岡県,男性,40～44歳,6.5,8.0,1572
福岡県,男性,40～44歳,6.0,6.5,2732
福岡県,男性,40～44歳,5.6,6.0,15902
福岡県,男性,40～44歳,0.0,5.6,45689
佐賀県,男性,40～44歳,8.4,inf,69
佐賀県,男性,40～44歳,8.0,8.4,14
佐賀県,男性,40～44歳,6.5,8.0,178
佐賀県,男性,40～44歳,6.0,6.5,393
佐賀県,男性,40～44歳,5.6,6.0,2066
佐賀県,男性,40～44歳,0.0,5.6,5071
長崎県,男性,40～44歳,8.4,inf,108
長崎県,男性,40～44歳,8.0,8.4,20
