都道府県,性別,年齢区分,検査値範囲,人数
神奈川県,女性,55～59歳,＋,1438
神奈川県,女性,55～59歳,＋＋,331
神奈川県,女性,55～59歳,＋＋＋,71
新潟県,女性,55～59歳,－,36078
新潟県,女性,55～59歳,±,1222
新潟県,女性,55～59歳,＋,472
新潟県,女性,55～59歳,＋＋,81
新潟県,女性,55～59歳,＋＋＋,21
富山県,女性,55～59歳,－,17026
富山県,女性,55～59歳,±,721
富山県,女性,55～59歳,＋,216
富山県,女性,55～59歳,＋＋,71
富山県,女性,55～59歳,＋＋＋,15
石川県,女性,55～59歳,－,17524
石川県,女性,55～59歳,±,1136
石川県,女性,55～59歳,＋,263
石川県,女性,55～59歳,＋＋,64
石川県,女性,55～59歳,＋＋＋,-
福井県,女性,55～59歳,－,12166
福井県,女性,55～59歳,±,503
福井県,女性,55～59歳,＋,151
福井県,女性,55～59歳,＋＋,28
福井県,女性,55～59歳,＋＋＋,12
山梨県,女性,55～59歳,－,14067
山梨県,女性,55～59歳,±,855
山梨県,女性,55～59歳,＋,161
山梨県,女性,55～59歳,＋＋,40
山梨県,女性,55～59歳,＋＋＋,-
長野県,女性,55～59歳,－,33629
長野県,女性,55～59歳,±,1520
長野県,女性,55～59歳,＋,325
長野県,女性,55～59歳,＋＋,82
長野県,女性,55～59歳,＋＋＋,16
岐阜県,女性,55～59歳,－,29958
岐阜県,女性,55～59歳,±,1542
岐阜県,女性,55～59歳,＋,412
岐阜県,女性,55～59歳,＋＋,82
岐阜県,女性,55～59歳,＋＋＋,29
静岡県,女性,55～59歳,－,56055
静岡県,女性,55～59歳,±,1690
静岡県,女性,55～59歳,＋,502
静岡県,女性,55～59歳,＋＋,123
静岡県,女性,55～59歳,＋＋＋,41
愛知県,女性,55～59歳,－,104625
愛知県,女性,55～59歳,±,5309
愛知県,女性,55～59歳,＋,1676
愛知県,女性,55～59歳,＋＋,368
愛知県,女性,55～59歳,＋＋＋,79
三重県,女性,55～59歳,－,27140
三重県,女性,55～59歳,±,1192
三重県,女性,55～59歳,＋,324
三重県,女性,55～59歳,＋＋,67
三重県,女性,55～59歳,＋＋＋,19
滋賀県,女性,55～59歳,－,20992
滋賀県,女性,55～59歳,±,786
滋賀県,女性,55～59歳,＋,237
滋賀県,女性,55～59歳,＋＋,57
滋賀県,女性,55～59歳,＋＋＋,12
京都府,女性,55～59歳,－,33869
京都府,女性,55～59歳,±,2112
京都府,女性,55～59歳,＋,500
京都府,女性,55～59歳,＋＋,111
京都府,女性,55～59歳,＋＋＋,25
大阪府,女性,55～59歳,－,115252
大阪府,女性,55～59歳,±,6478
大阪府,女性,55～59歳,＋,1918
大阪府,女性,55～59歳,＋＋,431
大阪府,女性,55～59歳,＋＋＋,107
兵庫県,女性,55～59歳,－,73539
兵庫県,女性,55～59歳,±,4488
兵庫県,女性,55～59歳,＋,1069
兵庫県,女性,55～59歳,＋＋,197
兵庫県,女性,55～59歳,＋＋＋,53
奈良県,女性,55～59歳,－,17908
奈良県,女性,55～59歳,±,1103
奈良県,女性,55～59歳,＋,253
奈良県,女性,55～59歳,＋＋,42
奈良県,女性,55～59歳,＋＋＋,14
和歌山県,女性,55～59歳,－,12610
和歌山県,女性,55～59歳,±,776
和歌山県,女性,55～59歳,＋,222
和歌山県,女性,55～59歳,＋＋,40
和歌山県,女性,55～59歳,＋＋＋,17
鳥取県,女性,55～59歳,－,7584
鳥取県,女性,55～59歳,±,358
鳥取県,女性,55～59歳,＋,89
鳥取県,女性,55～59歳,＋＋,22
鳥取県,女性,55～59歳,＋＋＋,-
島根県,女性,55～59歳,－,9994
島根県,女性,55～59歳,±,522
島根県,女性,55～59歳,＋,166
島根県,女性,55～59歳,＋＋,38
島根県,女性,55～59歳,＋＋＋,-
岡山県,女性,55～59歳,－,25354
岡山県,女性,55～59歳,±,1316
岡山県,女性,55～59歳,＋,229
岡山県,女性,55～59歳,＋＋,64
岡山県,女性,55～59歳,＋＋＋,-
広島県,女性,55～59歳,－,36373
広島県,女性,55～59歳,±,1852
広島県,女性,55～59歳,＋,432
広島県,女性,55～59歳,＋＋,107
広島県,女性,55～59歳,＋＋＋,25
山口県,女性,55～59歳,－,16699
山口県,女性,55～59歳,±,911
山口県,女性,55～59歳,＋,233
山口県,女性,55～59歳,＋＋,49
山口県,女性,55～59歳,＋＋＋,11
徳島県,女性,55～59歳,－,9857
徳島県,女性,55～59歳,±,1021
徳島県,女性,55～59歳,＋,220
徳島県,女性,55～59歳,＋＋,55
徳島県,女性,55～59歳,＋＋＋,10
香川県,女性,55～59歳,－,13170
香川県,女性,55～59歳,±,719
香川県,女性,55～59歳,＋,176
香川県,女性,55～59歳,＋＋,42
香川県,女性,55～59歳,＋＋＋,-
愛媛県,女性,55～59歳,－,18875
愛媛県,女性,55～59歳,±,1017
愛媛県,女性,55～59歳,＋,322
愛媛県,女性,55～59歳,＋＋,46
愛媛県,女性,55～59歳,＋＋＋,16
高知県,女性,55～59歳,－,9774
高知県,女性,55～59歳,±,625
高知県,女性,55～59歳,＋,122
高知県,女性,55～59歳,＋＋,46
高知県,女性,55～59歳,＋＋＋,-
福岡県,女性,55～59歳,－,63988
福岡県,女性,55～59歳,±,3189
福岡県,女性,55～59歳,＋,829
福岡県,女性,55～59歳,＋＋,207
福岡県,女性,55～59歳,＋＋＋,51
佐賀県,女性,55～59歳,－,10571
佐賀県,女性,55～59歳,±,824
佐賀県,女性,55～59歳,＋,150
佐賀県,女性,55～59歳,＋＋,34
佐賀県,女性,55～59歳,＋＋＋,-
長崎県,女性,55～59歳,－,17674
長崎県,女性,55～59歳,±,1280
長崎県,女性,55～59歳,＋,356
長崎県,女性,55～59歳,＋＋,73
長崎県,女性,55～59歳,＋＋＋,16
熊本県,女性,55～59歳,－,26030
熊本県,女性,55～59歳,±,1012
熊本県,女性,55～59歳,＋,297
熊本県,女性,55～59歳,＋＋,66
熊本県,女性,55～59歳,＋＋＋,12
大分県,女性,55～59歳,－,16557
大分県,女性,55～59歳,±,946
大分県,女性,55～59歳,＋,198
大分県,女性,55～59歳,＋＋,56
大分県,女性,55～59歳,＋＋＋,14
宮崎県,女性,55～59歳,－,13898
宮崎県,女性,55～59歳,±,887
宮崎県,女性,55～59歳,＋,187
宮崎県,女性,55～59歳,＋＋,54
宮崎県,女性,55～59歳,＋＋＋,-
鹿児島県,女性,55～59歳,－,20149
鹿児島県,女性,55～59歳,±,1215
鹿児島県,女性,55～59歳,＋,317
鹿児島県,女性,55～59歳,＋＋,79
鹿児島県,女性,55～59歳,＋＋＋,18
沖縄県,女性,55～59歳,－,18255
沖縄県,女性,55～59歳,±,1061
沖縄県,女性,55～59歳,＋,233
沖縄県,女性,55～59歳,＋＋,63
沖縄県,女性,55～59歳,＋＋＋,-
北海道,女性,60～64歳,－,50687
北海道,女性,60～64歳,±,2717
北海道,女性,60～64歳,＋,767
北海道,女性,60～64歳,＋＋,213
北海道,女性,60～64歳,＋＋＋,34
青森県,女性,60～64歳,－,17394
青森県,女性,60～64歳,±,1088
青森県,女性,60～64歳,＋,321
青森県,女性,60～64歳,＋＋,96
青森県,女性,60～64歳,＋＋＋,16
岩手県,女性,60～64歳,－,18719
岩手県,女性,60～64歳,±,796
岩手県,女性,60～64歳,＋,240
岩手県,女性,60～64歳,＋＋,50
岩手県,女性,60～64歳,＋＋＋,-
宮城県,女性,60～64歳,－,33369
宮城県,女性,60～64歳,±,1567
宮城県,女性,60～64歳,＋,376
宮城県,女性,60～64歳,＋＋,73
宮城県,女性,60～64歳,＋＋＋,17
秋田県,女性,60～64歳,－,15073
秋田県,女性,60～64歳,±,780
秋田県,女性,60～64歳,＋,194
秋田県,女性,60～64歳,＋＋,48
秋田県,女性,60～64歳,＋＋＋,16
山形県,女性,60～64歳,－,20759
山形県,女性,60～64歳,±,376
山形県,女性,60～64歳,＋,137
山形県,女性,60～64歳,＋＋,46
山形県,女性,60～64歳,＋＋＋,19
福島県,女性,60～64歳,－,28895
福島県,女性,60～64歳,±,1222
福島県,女性,60～64歳,＋,391
福島県,女性,60～64歳,＋＋,82
福島県,女性,60～64歳,＋＋＋,19
茨城県,女性,60～64歳,－,36493
茨城県,女性,60～64歳,±,1226
茨城県,女性,60～64歳,＋,353
茨城県,女性,60～64歳,＋＋,110
茨城県,女性,60～64歳,＋＋＋,21
栃木県,女性,60～64歳,－,25504
栃木県,女性,60～64歳,±,900
栃木県,女性,60～64歳,＋,278
栃木県,女性,60～64歳,＋＋,90
栃木県,女性,60～64歳,＋＋＋,16
群馬県,女性,60～64歳,－,24461
群馬県,女性,60～64歳,±,1314
群馬県,女性,60～64歳,＋,394
群馬県,女性,60～64歳,＋＋,80
群馬県,女性,60～64歳,＋＋＋,27
埼玉県,女性,60～64歳,－,81957
埼玉県,女性,60～64歳,±,3988
埼玉県,女性,60～64歳,＋,1118
埼玉県,女性,60～64歳,＋＋,261
埼玉県,女性,60～64歳,＋＋＋,58
千葉県,女性,60～64歳,－,69240
千葉県,女性,60～64歳,±,3488
千葉県,女性,60～64歳,＋,972
千葉県,女性,60～64歳,＋＋,222
千葉県,女性,60～64歳,＋＋＋,57
東京都,女性,60～64歳,－,162982
東京都,女性,60～64歳,±,8334
東京都,女性,60～64歳,＋,2458
東京都,女性,60～64歳,＋＋,525
東京都,女性,60～64歳,＋＋＋,144
神奈川県,女性,60～64歳,－,95718
神奈川県,女性,60～64歳,±,4338
神奈川県,女性,60～64歳,＋,1228
神奈川県,女性,60～64歳,＋＋,318
神奈川県,女性,60～64歳,＋＋＋,78
新潟県,女性,60～64歳,－,33266
新潟県,女性,60～64歳,±,1354
新潟県,女性,60～64歳,＋,533
新潟県,女性,60～64歳,＋＋,118
新潟県,女性,60～64歳,＋＋＋,21
富山県,女性,60～64歳,－,14735
富山県,女性,60～64歳,±,721
富山県,女性,60～64歳,＋,265
富山県,女性,60～64歳,＋＋,59
富山県,女性,60～64歳,＋＋＋,-
石川県,女性,60～64歳,－,15463
石川県,女性,60～64歳,±,1044
石川県,女性,60～64歳,＋,263
石川県,女性,60～64歳,＋＋,83
石川県,女性,60～64歳,＋＋＋,-
福井県,女性,60～64歳,－,10620
福井県,女性,60～64歳,±,482
福井県,女性,60～64歳,＋,147
福井県,女性,60～64歳,＋＋,35
福井県,女性,60～64歳,＋＋＋,11
山梨県,女性,60～64歳,－,13051
山梨県,女性,60～64歳,±,668
山梨県,女性,60～64歳,＋,138
山梨県,女性,60～64歳,＋＋,42
山梨県,女性,60～64歳,＋＋＋,-
長野県,女性,60～64歳,－,30449
長野県,女性,60～64歳,±,1359
長野県,女性,60～64歳,＋,312
長野県,女性,60～64歳,＋＋,89
長野県,女性,60～64歳,＋＋＋,20
岐阜県,女性,60～64歳,－,27076
岐阜県,女性,60～64歳,±,1543
岐阜県,女性,60～64歳,＋,482
岐阜県,女性,60～64歳,＋＋,92
岐阜県,女性,60～64歳,＋＋＋,19
静岡県,女性,60～64歳,－,49132
静岡県,女性,60～64歳,±,1675
静岡県,女性,60～64歳,＋,539
静岡県,女性,60～64歳,＋＋,111
静岡県,女性,60～64歳,＋＋＋,30
愛知県,女性,60～64歳,－,82460
愛知県,女性,60～64歳,±,4886
愛知県,女性,60～64歳,＋,1564
愛知県,女性,60～64歳,＋＋,378
愛知県,女性,60～64歳,＋＋＋,93
三重県,女性,60～64歳,－,23985
三重県,女性,60～64歳,±,1356
三重県,女性,60～64歳,＋,372
三重県,女性,60～64歳,＋＋,80
三重県,女性,60～64歳,＋＋＋,28
滋賀県,女性,60～64歳,－,18639
滋賀県,女性,60～64歳,±,844
滋賀県,女性,60～64歳,＋,225
滋賀県,女性,60～64歳,＋＋,54
滋賀県,女性,60～64歳,＋＋＋,15
京都府,女性,60～64歳,－,27559
京都府,女性,60～64歳,±,1761
京都府,女性,60～64歳,＋,448
京都府,女性,60～64歳,＋＋,97
京都府,女性,60～64歳,＋＋＋,11
大阪府,女性,60～64歳,－,85500
大阪府,女性,60～64歳,±,5356
大阪府,女性,60～64歳,＋,1735
大阪府,女性,60～64歳,＋＋,380
大阪府,女性,60～64歳,＋＋＋,99
兵庫県,女性,60～64歳,－,61881
兵庫県,女性,60～64歳,±,3514
兵庫県,女性,60～64歳,＋,901
兵庫県,女性,60～64歳,＋＋,188
兵庫県,女性,60～64歳,＋＋＋,35
奈良県,女性,60～64歳,－,15091
奈良県,女性,60～64歳,±,1071
奈良県,女性,60～64歳,＋,258
奈良県,女性,60～64歳,＋＋,54
奈良県,女性,60～64歳,＋＋＋,14
和歌山県,女性,60～64歳,－,11259
和歌山県,女性,60～64歳,±,843
和歌山県,女性,60～64歳,＋,234
和歌山県,女性,60～64歳,＋＋,38
和歌山県,女性,60～64歳,＋＋＋,-
鳥取県,女性,60～64歳,－,7211
鳥取県,女性,60～64歳,±,321
鳥取県,女性,60～64歳,＋,97
鳥取県,女性,60～64歳,＋＋,21
鳥取県,女性,60～64歳,＋＋＋,17
島根県,女性,60～64歳,－,10046
島根県,女性,60～64歳,±,555
島根県,女性,60～64歳,＋,191
島根県,女性,60～64歳,＋＋,34
島根県,女性,60～64歳,＋＋＋,-
岡山県,女性,60～64歳,－,22605
岡山県,女性,60～64歳,±,1171
岡山県,女性,60～64歳,＋,261
岡山県,女性,60～64歳,＋＋,54
岡山県,女性,60～64歳,＋＋＋,-
広島県,女性,60～64歳,－,30997
広島県,女性,60～64歳,±,1557
広島県,女性,60～64歳,＋,441
広島県,女性,60～64歳,＋＋,107
広島県,女性,60～64歳,＋＋＋,26
山口県,女性,60～64歳,－,15674
山口県,女性,60～64歳,±,819
山口県,女性,60～64歳,＋,265
山口県,女性,60～64歳,＋＋,66
山口県,女性,60～64歳,＋＋＋,17
徳島県,女性,60～64歳,－,9485
徳島県,女性,60～64歳,±,935
徳島県,女性,60～64歳,＋,222
徳島県,女性,60～64歳,＋＋,50
徳島県,女性,60～64歳,＋＋＋,13
香川県,女性,60～64歳,－,12735
香川県,女性,60～64歳,±,689
香川県,女性,60～64歳,＋,191
香川県,女性,60～64歳,＋＋,40
香川県,女性,60～64歳,＋＋＋,-
愛媛県,女性,60～64歳,－,17326
愛媛県,女性,60～64歳,±,775
愛媛県,女性,60～64歳,＋,272
愛媛県,女性,60～64歳,＋＋,58
愛媛県,女性,60～64歳,＋＋＋,12
高知県,女性,60～64歳,－,9267
高知県,女性,60～64歳,±,665
高知県,女性,60～64歳,＋,128
高知県,女性,60～64歳,＋＋,48
高知県,女性,60～64歳,＋＋＋,-
福岡県,女性,60～64歳,－,56095
福岡県,女性,60～64歳,±,2888
福岡県,女性,60～64歳,＋,786
福岡県,女性,60～64歳,＋＋,207
福岡県,女性,60～64歳,＋＋＋,63
佐賀県,女性,60～64歳,－,10693
佐賀県,女性,60～64歳,±,740
佐賀県,女性,60～64歳,＋,162
佐賀県,女性,60～64歳,＋＋,35
佐賀県,女性,60～64歳,＋＋＋,10
長崎県,女性,60～64歳,－,17090
長崎県,女性,60～64歳,±,1391
長崎県,女性,60～64歳,＋,390
長崎県,女性,60～64歳,＋＋,93
長崎県,女性,60～64歳,＋＋＋,19
熊本県,女性,60～64歳,－,24781
熊本県,女性,60～64歳,±,925
熊本県,女性,60～64歳,＋,289
熊本県,女性,60～64歳,＋＋,71
熊本県,女性,60～64歳,＋＋＋,13
大分県,女性,60～64歳,－,16348
大分県,女性,60～64歳,±,966
大分県,女性,60～64歳,＋,235
大分県,女性,60～64歳,＋＋,53
大分県,女性,60～64歳,＋＋＋,10
宮崎県,女性,60～64歳,－,13771
宮崎県,女性,60～64歳,±,903
宮崎県,女性,60～64歳,＋,220
宮崎県,女性,60～64歳,＋＋,54
宮崎県,女性,60～64歳,＋＋＋,20
鹿児島県,女性,60～64歳,－,21225
鹿児島県,女性,60～64歳,±,1330
鹿児島県,女性,60～64歳,＋,362
鹿児島県,女性,60～64歳,＋＋,117
鹿児島県,女性,60～64歳,＋＋＋,25
沖縄県,女性,60～64歳,－,16179
沖縄県,女性,60～64歳,±,975
沖縄県,女性,60～64歳,＋,288
沖縄県,女性,60～64歳,＋＋,99
沖縄県,女性,60～64歳,＋＋＋,19
北海道,女性,65～69歳,－,41540
北海道,女性,65～69歳,±,2367
北海道,女性,65～69歳,＋,802
北海道,女性,65～69歳,＋＋,195
北海道,女性,65～69歳,＋＋＋,43
青森県,女性,65～69歳,－,16700
青森県,女性,65～69歳,±,1225
青森県,女性,65～69歳,＋,430
青森県,女性,65～69歳,＋＋,126
青森県,女性,65～69歳,＋＋＋,24
岩手県,女性,65～69歳,－,19898
岩手県,女性,65～69歳,±,1025
岩手県,女性,65～69歳,＋,319
岩手県,女性,65～69歳,＋＋,72
岩手県,女性,65～69歳,＋＋＋,18
宮城県,女性,65～69歳,－,34012
宮城県,女性,65～69歳,±,1927
宮城県,女性,65～69歳,＋,588
宮城県,女性,65～69歳,＋＋,106
宮城県,女性,65～69歳,＋＋＋,26
秋田県,女性,65～69歳,－,15424
秋田県,女性,65～69歳,±,787
秋田県,女性,65～69歳,＋,272
秋田県,女性,65～69歳,＋＋,61
秋田県,女性,65～69歳,＋＋＋,-
山形県,女性,65～69歳,－,21081
山形県,女性,65～69歳,±,450
山形県,女性,65～69歳,＋,139
山形県,女性,65～69歳,＋＋,59
山形県,女性,65～69歳,＋＋＋,11
福島県,女性,65～69歳,－,29504
福島県,女性,65～69歳,±,1140
福島県,女性,65～69歳,＋,432
福島県,女性,65～69歳,＋＋,104
福島県,女性,65～69歳,＋＋＋,22
茨城県,女性,65～69歳,－,36276
茨城県,女性,65～69歳,±,1309
茨城県,女性,65～69歳,＋,485
茨城県,女性,65～69歳,＋＋,125
茨城県,女性,65～69歳,＋＋＋,32
栃木県,女性,65～69歳,－,25629
栃木県,女性,65～69歳,±,1077
栃木県,女性,65～69歳,＋,382
栃木県,女性,65～69歳,＋＋,108
栃木県,女性,65～69歳,＋＋＋,17
群馬県,女性,65～69歳,－,26120
群馬県,女性,65～69歳,±,1943
群馬県,女性,65～69歳,＋,512
群馬県,女性,65～69歳,＋＋,141
群馬県,女性,65～69歳,＋＋＋,36
埼玉県,女性,65～69歳,－,80268
埼玉県,女性,65～69歳,±,5130
埼玉県,女性,65～69歳,＋,1742
埼玉県,女性,65～69歳,＋＋,405
埼玉県,女性,65～69歳,＋＋＋,104
千葉県,女性,65～69歳,－,68001
千葉県,女性,65～69歳,±,4382
千葉県,女性,65～69歳,＋,1333
千葉県,女性,65～69歳,＋＋,313
千葉県,女性,65～69歳,＋＋＋,77
東京都,女性,65～69歳,－,135612
東京都,女性,65～69歳,±,10491
東京都,女性,65～69歳,＋,3512
東京都,女性,65～69歳,＋＋,799
東京都,女性,65～69歳,＋＋＋,205
神奈川県,女性,65～69歳,－,75783
神奈川県,女性,65～69歳,±,5158
神奈川県,女性,65～69歳,＋,1602
神奈川県,女性,65～69歳,＋＋,368
神奈川県,女性,65～69歳,＋＋＋,90
新潟県,女性,65～69歳,－,33567
新潟県,女性,65～69歳,±,2003
新潟県,女性,65～69歳,＋,593
新潟県,女性,65～69歳,＋＋,132
新潟県,女性,65～69歳,＋＋＋,20
富山県,女性,65～69歳,－,14194
富山県,女性,65～69歳,±,1067
富山県,女性,65～69歳,＋,370
富山県,女性,65～69歳,＋＋,102
富山県,女性,65～69歳,＋＋＋,17
石川県,女性,65～69歳,－,14726
石川県,女性,65～69歳,±,1131
石川県,女性,65～69歳,＋,352
石川県,女性,65～69歳,＋＋,84
石川県,女性,65～69歳,＋＋＋,23
福井県,女性,65～69歳,－,9255
福井県,女性,65～69歳,±,464
福井県,女性,65～69歳,＋,162
福井県,女性,65～69歳,＋＋,41
福井県,女性,65～69歳,＋＋＋,12
山梨県,女性,65～69歳,－,13098
山梨県,女性,65～69歳,±,622
山梨県,女性,65～69歳,＋,155
山梨県,女性,65～69歳,＋＋,45
山梨県,女性,65～69歳,＋＋＋,10
長野県,女性,65～69歳,－,30066
長野県,女性,65～69歳,±,1543
長野県,女性,65～69歳,＋,436
長野県,女性,65～69歳,＋＋,106
長野県,女性,65～69歳,＋＋＋,20
岐阜県,女性,65～69歳,－,25587
岐阜県,女性,65～69歳,±,2122
岐阜県,女性,65～69歳,＋,745
岐阜県,女性,65～69歳,＋＋,144
岐阜県,女性,65～69歳,＋＋＋,42
静岡県,女性,65～69歳,－,44081
静岡県,女性,65～69歳,±,2046
静岡県,女性,65～69歳,＋,742
静岡県,女性,65～69歳,＋＋,181
静岡県,女性,65～69歳,＋＋＋,46
愛知県,女性,65～69歳,－,73107
愛知県,女性,65～69歳,±,6162
愛知県,女性,65～69歳,＋,2296
愛知県,女性,65～69歳,＋＋,541
愛知県,女性,65～69歳,＋＋＋,132
三重県,女性,65～69歳,－,23361
三重県,女性,65～69歳,±,2128
三重県,女性,65～69歳,＋,755
三重県,女性,65～69歳,＋＋,127
三重県,女性,65～69歳,＋＋＋,37
滋賀県,女性,65～69歳,－,16617
滋賀県,女性,65～69歳,±,1134
滋賀県,女性,65～69歳,＋,357
滋賀県,女性,65～69歳,＋＋,65
滋賀県,女性,65～69歳,＋＋＋,23
京都府,女性,65～69歳,－,24011
京都府,女性,65～69歳,±,1858
京都府,女性,65～69歳,＋,559
京都府,女性,65～69歳,＋＋,116
京都府,女性,65～69歳,＋＋＋,26
大阪府,女性,65～69歳,－,70620
大阪府,女性,65～69歳,±,6431
大阪府,女性,65～69歳,＋,2089
大阪府,女性,65～69歳,＋＋,425
大阪府,女性,65～69歳,＋＋＋,121
兵庫県,女性,65～69歳,－,55807
兵庫県,女性,65～69歳,±,3778
兵庫県,女性,65～69歳,＋,1147
兵庫県,女性,65～69歳,＋＋,261
兵庫県,女性,65～69歳,＋＋＋,62
奈良県,女性,65～69歳,－,14866
奈良県,女性,65～69歳,±,1267
奈良県,女性,65～69歳,＋,339
奈良県,女性,65～69歳,＋＋,74
奈良県,女性,65～69歳,＋＋＋,13
和歌山県,女性,65～69歳,－,11070
和歌山県,女性,65～69歳,±,1055
和歌山県,女性,65～69歳,＋,339
和歌山県,女性,65～69歳,＋＋,53
和歌山県,女性,65～69歳,＋＋＋,24
鳥取県,女性,65～69歳,－,6720
鳥取県,女性,65～69歳,±,357
鳥取県,女性,65～69歳,＋,123
鳥取県,女性,65～69歳,＋＋,32
鳥取県,女性,65～69歳,＋＋＋,14
島根県,女性,65～69歳,－,10387
島根県,女性,65～69歳,±,694
島根県,女性,65～69歳,＋,218
島根県,女性,65～69歳,＋＋,66
島根県,女性,65～69歳,＋＋＋,12
岡山県,女性,65～69歳,－,20501
岡山県,女性,65～69歳,±,1198
岡山県,女性,65～69歳,＋,340
岡山県,女性,65～69歳,＋＋,87
岡山県,女性,65～69歳,＋＋＋,18
広島県,女性,65～69歳,－,26760
広島県,女性,65～69歳,±,1660
広島県,女性,65～69歳,＋,479
広島県,女性,65～69歳,＋＋,122
広島県,女性,65～69歳,＋＋＋,25
山口県,女性,65～69歳,－,15840
山口県,女性,65～69歳,±,861
山口県,女性,65～69歳,＋,310
山口県,女性,65～69歳,＋＋,96
山口県,女性,65～69歳,＋＋＋,13
徳島県,女性,65～69歳,－,10123
徳島県,女性,65～69歳,±,969
徳島県,女性,65～69歳,＋,330
徳島県,女性,65～69歳,＋＋,88
徳島県,女性,65～69歳,＋＋＋,16
香川県,女性,65～69歳,－,12964
香川県,女性,65～69歳,±,921
香川県,女性,65～69歳,＋,264
香川県,女性,65～69歳,＋＋,52
香川県,女性,65～69歳,＋＋＋,10
愛媛県,女性,65～69歳,－,15646
愛媛県,女性,65～69歳,±,805
愛媛県,女性,65～69歳,＋,301
愛媛県,女性,65～69歳,＋＋,61
愛媛県,女性,65～69歳,＋＋＋,14
高知県,女性,65～69歳,－,9225
高知県,女性,65～69歳,±,572
高知県,女性,65～69歳,＋,175
高知県,女性,65～69歳,＋＋,56
高知県,女性,65～69歳,＋＋＋,11
福岡県,女性,65～69歳,－,52817
福岡県,女性,65～69歳,±,3220
福岡県,女性,65～69歳,＋,1139
福岡県,女性,65～69歳,＋＋,258
福岡県,女性,65～69歳,＋＋＋,71
佐賀県,女性,65～69歳,－,11107
佐賀県,女性,65～69歳,±,793
佐賀県,女性,65～69歳,＋,212
佐賀県,女性,65～69歳,＋＋,45
佐賀県,女性,65～69歳,＋＋＋,-
長崎県,女性,65～69歳,－,17795
長崎県,女性,65～69歳,±,1630
長崎県,女性,65～69歳,＋,529
長崎県,女性,65～69歳,＋＋,118
長崎県,女性,65～69歳,＋＋＋,34
熊本県,女性,65～69歳,－,24081
熊本県,女性,65～69歳,±,1017
熊本県,女性,65～69歳,＋,387
熊本県,女性,65～69歳,＋＋,103
熊本県,女性,65～69歳,＋＋＋,18
大分県,女性,65～69歳,－,15718
大分県,女性,65～69歳,±,1080
大分県,女性,65～69歳,＋,284
大分県,女性,65～69歳,＋＋,69
大分県,女性,65～69歳,＋＋＋,19
宮崎県,女性,65～69歳,－,14619
宮崎県,女性,65～69歳,±,988
宮崎県,女性,65～69歳,＋,324
宮崎県,女性,65～69歳,＋＋,96
宮崎県,女性,65～69歳,＋＋＋,25
鹿児島県,女性,65～69歳,－,23700
鹿児島県,女性,65～69歳,±,1626
鹿児島県,女性,65～69歳,＋,547
鹿児島県,女性,65～69歳,＋＋,151
鹿児島県,女性,65～69歳,＋＋＋,43
沖縄県,女性,65～69歳,－,15244
沖縄県,女性,65～69歳,±,1100
沖縄県,女性,65～69歳,＋,315
沖縄県,女性,65～69歳,＋＋,144
沖縄県,女性,65～69歳,＋＋＋,30
北海道,女性,70～74歳,－,46097
北海道,女性,70～74歳,±,3216
北海道,女性,70～74歳,＋,1168
北海道,女性,70～74歳,＋＋,320
北海道,女性,70～74歳,＋＋＋,75
青森県,女性,70～74歳,－,18812
青森県,女性,70～74歳,±,1744
青森県,女性,70～74歳,＋,605
青森県,女性,70～74歳,＋＋,193
青森県,女性,70～74歳,＋＋＋,53
岩手県,女性,70～74歳,－,23133
岩手県,女性,70～74歳,±,1416
岩手県,女性,70～74歳,＋,518
岩手県,女性,70～74歳,＋＋,134
岩手県,女性,70～74歳,＋＋＋,18
宮城県,女性,70～74歳,－,39235
宮城県,女性,70～74歳,±,2895
宮城県,女性,70～74歳,＋,862
宮城県,女性,70～74歳,＋＋,221
宮城県,女性,70～74歳,＋＋＋,61
秋田県,女性,70～74歳,－,16819
秋田県,女性,70～74歳,±,1006
秋田県,女性,70～74歳,＋,360
秋田県,女性,70～74歳,＋＋,95
秋田県,女性,70～74歳,＋＋＋,22
山形県,女性,70～74歳,－,21527
山形県,女性,70～74歳,±,555
山形県,女性,70～74歳,＋,189
山形県,女性,70～74歳,＋＋,74
山形県,女性,70～74歳,＋＋＋,14
福島県,女性,70～74歳,－,32401
福島県,女性,70～74歳,±,1498
福島県,女性,70～74歳,＋,614
福島県,女性,70～74歳,＋＋,167
福島県,女性,70～74歳,＋＋＋,40
茨城県,女性,70～74歳,－,40502
茨城県,女性,70～74歳,±,1629
茨城県,女性,70～74歳,＋,713
茨城県,女性,70～74歳,＋＋,209
茨城県,女性,70～74歳,＋＋＋,51
栃木県,女性,70～74歳,－,28612
栃木県,女性,70～74歳,±,1411
栃木県,女性,70～74歳,＋,578
栃木県,女性,70～74歳,＋＋,163
栃木県,女性,70～74歳,＋＋＋,37
群馬県,女性,70～74歳,－,33379
群馬県,女性,70～74歳,±,3014
群馬県,女性,70～74歳,＋,1048
群馬県,女性,70～74歳,＋＋,267
群馬県,女性,70～74歳,＋＋＋,63
埼玉県,女性,70～74歳,－,108937
埼玉県,女性,70～74歳,±,9003
埼玉県,女性,70～74歳,＋,3444
埼玉県,女性,70～74歳,＋＋,863
埼玉県,女性,70～74歳,＋＋＋,230
千葉県,女性,70～74歳,－,89601
千葉県,女性,70～74歳,±,7413
千葉県,女性,70～74歳,＋,2605
