都道府県,性別,年齢区分,下限値,上限値,人数
福井県,男性,45～49歳,0.0,150.0,13311
山梨県,男性,45～49歳,300.0,inf,998
山梨県,男性,45～49歳,150.0,300.0,4136
山梨県,男性,45～49歳,0.0,150.0,13795
長野県,男性,45～49歳,300.0,inf,2542
長野県,男性,45～49歳,150.0,300.0,11401
長野県,男性,45～49歳,0.0,150.0,37009
岐阜県,男性,45～49歳,300.0,inf,2571
岐阜県,男性,45～49歳,150.0,300.0,10756
岐阜県,男性,45～49歳,0.0,150.0,35668
静岡県,男性,45～49歳,300.0,inf,4457
静岡県,男性,45～49歳,150.0,300.0,19643
静岡県,男性,45～49歳,0.0,150.0,68158
愛知県,男性,45～49歳,300.0,inf,10241
愛知県,男性,45～49歳,150.0,300.0,44303
愛知県,男性,45～49歳,0.0,150.0,148253
三重県,男性,45～49歳,300.0,inf,2287
三重県,男性,45～49歳,150.0,300.0,9446
三重県,男性,45～49歳,0.0,150.0,32268
滋賀県,男性,45～49歳,300.0,inf,1785
滋賀県,男性,45～49歳,150.0,300.0,7665
滋賀県,男性,45～49歳,0.0,150.0,25505
京都府,男性,45～49歳,300.0,inf,2898
京都府,男性,45～49歳,150.0,300.0,11777
京都府,男性,45～49歳,0.0,150.0,41270
大阪府,男性,45～49歳,300.0,inf,9902
大阪府,男性,45～49歳,150.0,300.0,41425
大阪府,男性,45～49歳,0.0,150.0,139947
兵庫県,男性,45～49歳,300.0,inf,6439
兵庫県,男性,45～49歳,150.0,300.0,26407
兵庫県,男性,45～49歳,0.0,150.0,89917
奈良県,男性,45～49歳,300.0,inf,1341
奈良県,男性,45～49歳,150.0,300.0,5790
奈良県,男性,45～49歳,0.0,150.0,19448
和歌山県,男性,45～49歳,300.0,inf,1078
和歌山県,男性,45～49歳,150.0,300.0,4297
和歌山県,男性,45～49歳,0.0,150.0,13210
鳥取県,男性,45～49歳,300.0,inf,639
鳥取県,男性,45～49歳,150.0,300.0,2486
鳥取県,男性,45～49歳,0.0,150.0,8349
島根県,男性,45～49歳,300.0,inf,781
島根県,男性,45～49歳,150.0,300.0,3364
島根県,男性,45～49歳,0.0,150.0,11082
岡山県,男性,45～49歳,300.0,inf,2348
岡山県,男性,45～49歳,150.0,300.0,9750
岡山県,男性,45～49歳,0.0,150.0,31481
広島県,男性,45～49歳,300.0,inf,3827
広島県,男性,45～49歳,150.0,300.0,15088
広島県,男性,45～49歳,0.0,150.0,47971
山口県,男性,45～49歳,300.0,inf,1588
山口県,男性,45～49歳,150.0,300.0,6462
山口県,男性,45～49歳,0.0,150.0,21195
徳島県,男性,45～49歳,300.0,inf,869
徳島県,男性,45～49歳,150.0,300.0,3426
徳島県,男性,45～49歳,0.0,150.0,10618
香川県,男性,45～49歳,300.0,inf,1296
香川県,男性,45～49歳,150.0,300.0,5081
香川県,男性,45～49歳,0.0,150.0,16062
愛媛県,男性,45～49歳,300.0,inf,1693
愛媛県,男性,45～49歳,150.0,300.0,6964
