都道府県,性別,年齢区分,下限値,上限値,人数
和歌山県,男性,40～44歳,0.0,80.0,8064
鳥取県,男性,40～44歳,110.0,inf,110
鳥取県,男性,40～44歳,100.0,110.0,321
鳥取県,男性,40～44歳,90.0,100.0,1000
鳥取県,男性,40～44歳,85.0,90.0,1063
鳥取県,男性,40～44歳,80.0,85.0,1671
鳥取県,男性,40～44歳,0.0,80.0,5881
島根県,男性,40～44歳,110.0,inf,123
島根県,男性,40～44歳,100.0,110.0,386
島根県,男性,40～44歳,90.0,100.0,1379
島根県,男性,40～44歳,85.0,90.0,1436
島根県,男性,40～44歳,80.0,85.0,2012
島根県,男性,40～44歳,0.0,80.0,7517
岡山県,男性,40～44歳,110.0,inf,313
岡山県,男性,40～44歳,100.0,110.0,962
岡山県,男性,40～44歳,90.0,100.0,3221
岡山県,男性,40～44歳,85.0,90.0,3468
岡山県,男性,40～44歳,80.0,85.0,5263
岡山県,男性,40～44歳,0.0,80.0,21980
広島県,男性,40～44歳,110.0,inf,404
広島県,男性,40～44歳,100.0,110.0,1399
広島県,男性,40～44歳,90.0,100.0,4825
広島県,男性,40～44歳,85.0,90.0,5357
広島県,男性,40～44歳,80.0,85.0,8281
広島県,男性,40～44歳,0.0,80.0,32997
山口県,男性,40～44歳,110.0,inf,247
山口県,男性,40～44歳,100.0,110.0,695
山口県,男性,40～44歳,90.0,100.0,2342
山口県,男性,40～44歳,85.0,90.0,2623
山口県,男性,40～44歳,80.0,85.0,3802
山口県,男性,40～44歳,0.0,80.0,13253
徳島県,男性,40～44歳,110.0,inf,91
徳島県,男性,40～44歳,100.0,110.0,268
徳島県,男性,40～44歳,90.0,100.0,1029
徳島県,男性,40～44歳,85.0,90.0,1036
徳島県,男性,40～44歳,80.0,85.0,1773
徳島県,男性,40～44歳,0.0,80.0,8577
香川県,男性,40～44歳,110.0,inf,132
香川県,男性,40～44歳,100.0,110.0,475
香川県,男性,40～44歳,90.0,100.0,1492
香川県,男性,40～44歳,85.0,90.0,1566
香川県,男性,40～44歳,80.0,85.0,2694
香川県,男性,40～44歳,0.0,80.0,11611
愛媛県,男性,40～44歳,110.0,inf,229
愛媛県,男性,40～44歳,100.0,110.0,690
愛媛県,男性,40～44歳,90.0,100.0,2485
愛媛県,男性,40～44歳,85.0,90.0,2449
愛媛県,男性,40～44歳,80.0,85.0,4037
愛媛県,男性,40～44歳,0.0,80.0,14446
高知県,男性,40～44歳,110.0,inf,121
高知県,男性,40～44歳,100.0,110.0,385
高知県,男性,40～44歳,90.0,100.0,1189
高知県,男性,40～44歳,85.0,90.0,1184
高知県,男性,40～44歳,80.0,85.0,1874
高知県,男性,40～44歳,0.0,80.0,7275
福岡県,男性,40～44歳,110.0,inf,809
福岡県,男性,40～44歳,100.0,110.0,2662
福岡県,男性,40～44歳,90.0,100.0,8825
福岡県,男性,40～44歳,85.0,90.0,9214
福岡県,男性,40～44歳,80.0,85.0,15005
福岡県,男性,40～44歳,0.0,80.0,58787
佐賀県,男性,40～44歳,110.0,inf,112
佐賀県,男性,40～44歳,100.0,110.0,348
佐賀県,男性,40～44歳,90.0,100.0,1354
佐賀県,男性,40～44歳,85.0,90.0,1358
佐賀県,男性,40～44歳,80.0,85.0,2424
佐賀県,男性,40～44歳,0.0,80.0,8976
長崎県,男性,40～44歳,110.0,inf,173
長崎県,男性,40～44歳,100.0,110.0,592
長崎県,男性,40～44歳,90.0,100.0,2110
長崎県,男性,40～44歳,85.0,90.0,2256
長崎県,男性,40～44歳,80.0,85.0,3212
長崎県,男性,40～44歳,0.0,80.0,11825
熊本県,男性,40～44歳,110.0,inf,302
熊本県,男性,40～44歳,100.0,110.0,876
熊本県,男性,40～44歳,90.0,100.0,3178
熊本県,男性,40～44歳,85.0,90.0,3121
熊本県,男性,40～44歳,80.0,85.0,5158
熊本県,男性,40～44歳,0.0,80.0,18834
大分県,男性,40～44歳,110.0,inf,178
大分県,男性,40～44歳,100.0,110.0,563
大分県,男性,40～44歳,90.0,100.0,1992
大分県,男性,40～44歳,85.0,90.0,2193
大分県,男性,40～44歳,80.0,85.0,3606
大分県,男性,40～44歳,0.0,80.0,12849
宮崎県,男性,40～44歳,110.0,inf,155
宮崎県,男性,40～44歳,100.0,110.0,510
宮崎県,男性,40～44歳,90.0,100.0,1845
宮崎県,男性,40～44歳,85.0,90.0,1937
宮崎県,男性,40～44歳,80.0,85.0,2985
宮崎県,男性,40～44歳,0.0,80.0,11312
鹿児島県,男性,40～44歳,110.0,inf,243
鹿児島県,男性,40～44歳,100.0,110.0,778
鹿児島県,男性,40～44歳,90.0,100.0,2684
鹿児島県,男性,40～44歳,85.0,90.0,2594
鹿児島県,男性,40～44歳,80.0,85.0,4281
鹿児島県,男性,40～44歳,0.0,80.0,15480
沖縄県,男性,40～44歳,110.0,inf,246
沖縄県,男性,40～44歳,100.0,110.0,816
沖縄県,男性,40～44歳,90.0,100.0,2719
沖縄県,男性,40～44歳,85.0,90.0,2371
沖縄県,男性,40～44歳,80.0,85.0,3809
沖縄県,男性,40～44歳,0.0,80.0,14605
北海道,男性,45～49歳,110.0,inf,1389
北海道,男性,45～49歳,100.0,110.0,4234
北海道,男性,45～49歳,90.0,100.0,12774
北海道,男性,45～49歳,85.0,90.0,11776
北海道,男性,45～49歳,80.0,85.0,17118
北海道,男性,45～49歳,0.0,80.0,54379
青森県,男性,45～49歳,110.0,inf,371
青森県,男性,45～49歳,100.0,110.0,1120
青森県,男性,45～49歳,90.0,100.0,4197
青森県,男性,45～49歳,85.0,90.0,4062
青森県,男性,45～49歳,80.0,85.0,4850
青森県,男性,45～49歳,0.0,80.0,11176
岩手県,男性,45～49歳,110.0,inf,283
岩手県,男性,45～49歳,100.0,110.0,1220
岩手県,男性,45～49歳,90.0,100.0,3977
岩手県,男性,45～49歳,85.0,90.0,3678
