都道府県,性別,年齢区分,下限値,上限値,人数
埼玉県,男性,45～49歳,35.0,40.0,9437
埼玉県,男性,45～49歳,40.0,inf,167671
千葉県,男性,45～49歳,0.0,35.0,2681
千葉県,男性,45～49歳,35.0,40.0,7897
千葉県,男性,45～49歳,40.0,inf,137872
東京都,男性,45～49歳,0.0,35.0,6573
東京都,男性,45～49歳,35.0,40.0,18799
東京都,男性,45～49歳,40.0,inf,337608
神奈川県,男性,45～49歳,0.0,35.0,4002
神奈川県,男性,45～49歳,35.0,40.0,11444
神奈川県,男性,45～49歳,40.0,inf,217721
新潟県,男性,45～49歳,0.0,35.0,1018
新潟県,男性,45～49歳,35.0,40.0,2847
新潟県,男性,45～49歳,40.0,inf,51351
富山県,男性,45～49歳,0.0,35.0,475
富山県,男性,45～49歳,35.0,40.0,1386
富山県,男性,45～49歳,40.0,inf,26925
石川県,男性,45～49歳,0.0,35.0,533
石川県,男性,45～49歳,35.0,40.0,1421
石川県,男性,45～49歳,40.0,inf,27408
福井県,男性,45～49歳,0.0,35.0,345
福井県,男性,45～49歳,35.0,40.0,921
福井県,男性,45～49歳,40.0,inf,17377
山梨県,男性,45～49歳,0.0,35.0,344
山梨県,男性,45～49歳,35.0,40.0,1070
山梨県,男性,45～49歳,40.0,inf,17521
長野県,男性,45～49歳,0.0,35.0,970
長野県,男性,45～49歳,35.0,40.0,2733
長野県,男性,45～49歳,40.0,inf,47258
岐阜県,男性,45～49歳,0.0,35.0,939
岐阜県,男性,45～49歳,35.0,40.0,2649
岐阜県,男性,45～49歳,40.0,inf,45419
静岡県,男性,45～49歳,0.0,35.0,1625
静岡県,男性,45～49歳,35.0,40.0,4814
静岡県,男性,45～49歳,40.0,inf,85837
愛知県,男性,45～49歳,0.0,35.0,3757
愛知県,男性,45～49歳,35.0,40.0,10381
愛知県,男性,45～49歳,40.0,inf,188711
三重県,男性,45～49歳,0.0,35.0,958
三重県,男性,45～49歳,35.0,40.0,2518
三重県,男性,45～49歳,40.0,inf,40534
滋賀県,男性,45～49歳,0.0,35.0,654
滋賀県,男性,45～49歳,35.0,40.0,1797
滋賀県,男性,45～49歳,40.0,inf,32516
京都府,男性,45～49歳,0.0,35.0,887
京都府,男性,45～49歳,35.0,40.0,2669
京都府,男性,45～49歳,40.0,inf,52397
大阪府,男性,45～49歳,0.0,35.0,3514
大阪府,男性,45～49歳,35.0,40.0,9584
大阪府,男性,45～49歳,40.0,inf,178251
兵庫県,男性,45～49歳,0.0,35.0,2053
兵庫県,男性,45～49歳,35.0,40.0,6054
兵庫県,男性,45～49歳,40.0,inf,114680
奈良県,男性,45～49歳,0.0,35.0,487
奈良県,男性,45～49歳,35.0,40.0,1299
奈良県,男性,45～49歳,40.0,inf,24807
和歌山県,男性,45～49歳,0.0,35.0,355
和歌山県,男性,45～49歳,35.0,40.0,924
和歌山県,男性,45～49歳,40.0,inf,17315
鳥取県,男性,45～49歳,0.0,35.0,181
鳥取県,男性,45～49歳,35.0,40.0,521
鳥取県,男性,45～49歳,40.0,inf,10773
島根県,男性,45～49歳,0.0,35.0,261
島根県,男性,45～49歳,35.0,40.0,699
島根県,男性,45～49歳,40.0,inf,14270
岡山県,男性,45～49歳,0.0,35.0,910
岡山県,男性,45～49歳,35.0,40.0,2417
岡山県,男性,45～49歳,40.0,inf,40270
広島県,男性,45～49歳,0.0,35.0,1173
広島県,男性,45～49歳,35.0,40.0,3258
広島県,男性,45～49歳,40.0,inf,62476
山口県,男性,45～49歳,0.0,35.0,422
山口県,男性,45～49歳,35.0,40.0,1362
山口県,男性,45～49歳,40.0,inf,27470
徳島県,男性,45～49歳,0.0,35.0,291
徳島県,男性,45～49歳,35.0,40.0,768
徳島県,男性,45～49歳,40.0,inf,13860
香川県,男性,45～49歳,0.0,35.0,482
香川県,男性,45～49歳,35.0,40.0,1287
香川県,男性,45～49歳,40.0,inf,20675
愛媛県,男性,45～49歳,0.0,35.0,633
愛媛県,男性,45～49歳,35.0,40.0,1698
愛媛県,男性,45～49歳,40.0,inf,27846
高知県,男性,45～49歳,0.0,35.0,289
高知県,男性,45～49歳,35.0,40.0,840
高知県,男性,45～49歳,40.0,inf,13687
福岡県,男性,45～49歳,0.0,35.0,1731
福岡県,男性,45～49歳,35.0,40.0,5010
福岡県,男性,45～49歳,40.0,inf,102031
佐賀県,男性,45～49歳,0.0,35.0,264
佐賀県,男性,45～49歳,35.0,40.0,786
佐賀県,男性,45～49歳,40.0,inf,14910
長崎県,男性,45～49歳,0.0,35.0,431
長崎県,男性,45～49歳,35.0,40.0,1246
長崎県,男性,45～49歳,40.0,inf,22417
熊本県,男性,45～49歳,0.0,35.0,740
熊本県,男性,45～49歳,35.0,40.0,2057
熊本県,男性,45～49歳,40.0,inf,31913
大分県,男性,45～49歳,0.0,35.0,458
大分県,男性,45～49歳,35.0,40.0,1267
大分県,男性,45～49歳,40.0,inf,23426
宮崎県,男性,45～49歳,0.0,35.0,538
宮崎県,男性,45～49歳,35.0,40.0,1255
宮崎県,男性,45～49歳,40.0,inf,19471
鹿児島県,男性,45～49歳,0.0,35.0,622
鹿児島県,男性,45～49歳,35.0,40.0,1673
鹿児島県,男性,45～49歳,40.0,inf,26566
沖縄県,男性,45～49歳,0.0,35.0,669
沖縄県,男性,45～49歳,35.0,40.0,1874
沖縄県,男性,45～49歳,40.0,inf,26045
北海道,男性,50～54歳,0.0,35.0,1843
北海道,男性,50～54歳,35.0,40.0,4981
北海道,男性,50～54歳,40.0,inf,87279
青森県,男性,50～54歳,0.0,35.0,341
青森県,男性,50～54歳,35.0,40.0,1043
青森県,男性,50～54歳,40.0,inf,23259
岩手県,男性,50～54歳,0.0,35.0,436
岩手県,男性,50～54歳,35.0,40.0,1144
岩手県,男性,50～54歳,40.0,inf,24187
宮城県,男性,50～54歳,0.0,35.0,962
宮城県,男性,50～54歳,35.0,40.0,2662
宮城県,男性,50～54歳,40.0,inf,47427
秋田県,男性,50～54歳,0.0,35.0,318
秋田県,男性,50～54歳,35.0,40.0,876
秋田県,男性,50～54歳,40.0,inf,17032
山形県,男性,50～54歳,0.0,35.0,441
山形県,男性,50～54歳,35.0,40.0,1181
山形県,男性,50～54歳,40.0,inf,22090
福島県,男性,50～54歳,0.0,35.0,674
福島県,男性,50～54歳,35.0,40.0,1979
福島県,男性,50～54歳,40.0,inf,34433
茨城県,男性,50～54歳,0.0,35.0,1215
茨城県,男性,50～54歳,35.0,40.0,3387
茨城県,男性,50～54歳,40.0,inf,60316
栃木県,男性,50～54歳,0.0,35.0,783
栃木県,男性,50～54歳,35.0,40.0,2288
栃木県,男性,50～54歳,40.0,inf,41830
群馬県,男性,50～54歳,0.0,35.0,855
群馬県,男性,50～54歳,35.0,40.0,2201
群馬県,男性,50～54歳,40.0,inf,40973
埼玉県,男性,50～54歳,0.0,35.0,2881
埼玉県,男性,50～54歳,35.0,40.0,8473
埼玉県,男性,50～54歳,40.0,inf,163523
千葉県,男性,50～54歳,0.0,35.0,2600
千葉県,男性,50～54歳,35.0,40.0,7202
千葉県,男性,50～54歳,40.0,inf,136120
東京都,男性,50～54歳,0.0,35.0,5930
東京都,男性,50～54歳,35.0,40.0,17363
東京都,男性,50～54歳,40.0,inf,332553
神奈川県,男性,50～54歳,0.0,35.0,3834
神奈川県,男性,50～54歳,35.0,40.0,11322
神奈川県,男性,50～54歳,40.0,inf,222920
新潟県,男性,50～54歳,0.0,35.0,900
新潟県,男性,50～54歳,35.0,40.0,2507
新潟県,男性,50～54歳,40.0,inf,48327
富山県,男性,50～54歳,0.0,35.0,446
富山県,男性,50～54歳,35.0,40.0,1242
富山県,男性,50～54歳,40.0,inf,24864
石川県,男性,50～54歳,0.0,35.0,453
石川県,男性,50～54歳,35.0,40.0,1310
石川県,男性,50～54歳,40.0,inf,24609
福井県,男性,50～54歳,0.0,35.0,306
福井県,男性,50～54歳,35.0,40.0,813
福井県,男性,50～54歳,40.0,inf,15971
山梨県,男性,50～54歳,0.0,35.0,367
山梨県,男性,50～54歳,35.0,40.0,980
山梨県,男性,50～54歳,40.0,inf,17906
